case_name,time_day,reactive_area_m2,reactive_area_in2,Lx_m,Ly_m,Lz_m,nx,ny,nz,number_of_fractures,temperature_C,injection_rate_m3_day,aperture_m,permeability_m2,maximum_pressure_pa,analytical_generated_H2_m3_day,applied_generated_H2_m3_day,produced_H2_m3_day,cumulative_generated_H2_mol,cumulative_produced_H2_mol,stored_H2_mol,relative_H2_balance_error,inventory_remaining_fraction
field_150x50m_200C,1.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.0031236030899721603,0.0031236030899721603,0.0030560234270698462,0.13935946684983316,0.13634440202863596,0.003015064821198218,7.266422956343805e-15,1.0
field_150x50m_200C,2.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.007044335537597463,0.007044335537597463,0.006958520023202366,0.4536423051472126,0.4467985834867588,0.006843721660456196,5.3440255244512086e-15,1.0
field_150x50m_200C,3.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.011965612748324526,0.011965612748324526,0.011857886691008037,0.9874877922679641,0.9758378754921142,0.011649916775855222,5.366729857933327e-15,1.0
field_150x50m_200C,4.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.018142753843494785,0.018142753843494785,0.018007537002574455,1.796926261238018,1.7792436487844518,0.017682612453575258,5.118464829654323e-15,1.0
field_150x50m_200C,5.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.025896222693315964,0.025896222693315964,0.02572650023020413,2.952285531931155,2.927030756404873,0.02525477552629643,4.9733331487972365e-15,1.0
field_150x50m_200C,6.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.03562824523780112,0.03562824523780112,0.03541521247341673,4.541838723588205,4.507079497076629,0.034759226511599885,5.27539661982151e-15,1.0
field_150x50m_200C,7.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.04784366308329165,0.04784366308329165,0.04757626909103878,6.676382449977588,6.6296934477788145,0.046689002198807394,5.096822412394197e-15,1.0
field_150x50m_200C,8.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.06317610188276346,0.06317610188276346,0.06284047666479946,9.494982516131039,9.433319603966886,0.06166291216420076,5.101685891562293e-15,1.0
field_150x50m_200C,9.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.08242080674873156,0.08242080674873156,0.0819995424701184,13.172184566132445,13.091726959642731,0.08045760648978538,5.384784363567845e-15,1.0
field_150x50m_200C,10.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.10657583968602209,0.10657583968602209,0.10604708886367542,17.927062753248627,17.82301494320994,0.1040478100387859,5.552798766625287e-15,1.0
field_150x50m_200C,11.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.136893762881251,0.136893762881251,0.13623010703622124,24.03457425861362,23.900917461110417,0.13365679750333537,5.496936975409294e-15,1.0
field_150x50m_200C,12.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.17494646784297263,0.17494646784297263,0.17411349838763074,31.83980616023638,31.668986453152478,0.17081970708407684,5.4238769737271854e-15,1.0
field_150x50m_200C,13.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.22270648000986346,0.22270648000986346,0.2216610184827297,41.77584970488987,41.558386760225275,0.2174629446648265,5.503165930754115e-15,1.0
field_150x50m_200C,14.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.28264890366562895,0.28264890366562895,0.28133677014233993,54.38622284960429,54.110219103508044,0.27600374609654243,5.493321658920893e-15,1.0
field_150x50m_200C,15.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.3578792120457974,0.3578792120457974,0.3562324277860856,70.35299415529704,70.0035191742712,0.34947498102618796,5.0095991421385705e-15,1.0
field_150x50m_200C,16.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.4522933798969279,0.4522933798969279,0.4502266619942008,90.53205099017381,90.0903694461638,0.4416815440104271,4.612845794889583e-15,1.0
field_150x50m_200C,17.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.570778457358766,0.570778457358766,0.568184828094549,115.9973163314233,115.43992008837623,0.5573962430476577,4.97984831012841e-15,1.0
field_150x50m_200C,18.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.7194636620481081,0.7194636620481081,0.7162089523469751,148.0961680334001,147.39356300561434,0.7026050277865102,5.128448502291963e-15,1.0
field_150x50m_200C,19.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,0.9060344982591242,0.9060344982591242,0.901950471389777,188.5188725153812,187.63405873996683,0.8848137754152924,4.956929284365155e-15,1.0
field_150x50m_200C,20.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1.1401253852714386,1.1401253852714386,1.1350011418388792,239.38553555060196,238.27210379390095,1.1134317567022525,5.213818459886736e-15,1.0
field_150x50m_200C,21.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1.4338098838364863,1.4338098838364863,1.427381130119746,303.35492449663957,301.9546740678256,1.4002504288155644,5.188886275459108e-15,1.0
field_150x50m_200C,22.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,1.8022119424084464,1.8022119424084464,1.7941476092105142,383.760561259754,382.0005208247861,1.7600404349698107,5.002013764196062e-15,1.0
field_150x50m_200C,23.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,2.2642667181916916,2.2642667181916916,2.2541523049183265,484.7807592695555,482.56946456166156,2.211294707896473,5.193155220172757e-15,1.0
field_150x50m_200C,24.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,2.84366549710565,2.84366549710565,2.830982385006756,611.6508180321882,608.8736666231747,2.7771514090166898,5.170929653503223e-15,1.0
field_150x50m_200C,25.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,3.570025992084841,3.570025992084841,3.5541258225300156,770.9274305103198,767.440893469343,3.4865370409809087,5.293857342474525e-15,1.0
field_150x50m_200C,26.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,4.480336638104011,4.480336638104011,4.460409690822102,970.817527686371,966.4419504347263,4.375577251649638,5.0867149311791554e-15,1.0
field_150x50m_200C,27.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,5.620730958413297,5.620730958413297,5.595767300962505,1221.5862864270373,1216.096956277615,5.489330149428628,5.133112341514002e-15,1.0
field_150x50m_200C,28.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,7.048654748538702,7.048654748538702,7.017396781533498,1536.0618262030123,1529.1779227063425,6.883903496677884,5.298210476221187e-15,1.0
field_150x50m_200C,29.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,8.835493120395268,8.835493120395268,8.79637804793558,1930.2571113103234,1921.6280899203864,8.629021389947008,5.209645911377318e-15,1.0
field_150x50m_200C,30.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,11.069723711979428,11.069723711979428,11.020814481285116,2424.132533456278,2413.3214280699854,10.81110538630524,5.198344250897229e-15,1.0
field_150x50m_200C,31.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,13.8606523576596,13.8606523576596,13.799555828708886,3042.525161173758,3028.98823581108,13.536925362693774,5.126724868482621e-15,1.0
field_150x50m_200C,32.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,17.34276172059466,17.34276172059466,17.266533387786517,3816.272003352515,3799.334152996166,16.93785035636931,5.224425603812686e-15,1.0
field_150x50m_200C,33.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,21.68065221648954,21.68065221648954,21.585687919679852,4783.553711949354,4762.379032075306,21.17467987407296,5.260497216553544e-15,1.0
field_150x50m_200C,34.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,27.074464513622154,27.074464513622154,26.956381540313735,5991.480209389443,5965.037260874884,26.44294851459024,5.172398194958707e-15,1.0
field_150x50m_200C,35.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,33.76552614777557,33.76552614777557,33.61903933183633,7497.928239539152,7464.949785718122,32.978453821067184,5.000760072407025e-15,1.0
field_150x50m_200C,36.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,42.04173987819454,42.04173987819454,41.86054321331804,9373.619320033242,9332.556781940038,41.06253809324969,4.946105866413841e-15,1.0
field_150x50m_200C,37.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,52.241906500539166,52.241906500539166,52.01857788793641,11704.390556784343,11653.364218717785,51.026338066614734,4.820772031911032e-15,1.0
field_150x50m_200C,38.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,64.7577358537281,64.7577358537281,64.4836922046803,14593.555179508001,14530.302391497311,63.252788010762465,4.9667448118924685e-15,1.0
field_150x50m_200C,39.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,80.03175649491072,80.03175649491072,79.69729830264517,18164.169817453512,18085.99518629722,78.17463115638124,4.86390980993354e-15,1.0
field_150x50m_200C,40.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,98.54874764240807,98.54874764240807,98.1432450085919,22560.919511502238,22464.653391374042,96.26612012830385,4.810455416263805e-15,1.0
field_150x50m_200C,41.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,120.8178359356006,120.8178359356006,120.33011863225806,27951.203973695538,27833.178359352005,118.02561434366727,4.816229985792273e-15,1.0
field_150x50m_200C,42.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,147.34230207743354,147.34230207743354,146.76131848868337,34524.87677093982,34380.93058959575,143.9461813442429,4.9467534120513124e-15,1.0
field_150x50m_200C,43.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,178.57484850397714,178.57484850397714,177.89064304845814,42491.98877700644,42317.51678788513,174.47198912152152,4.980422298645289e-15,1.0
field_150x50m_200C,44.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,214.8580872275844,214.8580872275844,214.06310219559637,52077.876491273615,51867.93626658578,209.94022468809735,4.978913746166737e-15,1.0
field_150x50m_200C,45.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,256.35368477374186,256.35368477374186,255.44431230510665,63515.089160754374,63264.577308127075,250.51185262761976,5.035040944388837e-15,1.0
field_150x50m_200C,46.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,302.9688001875167,302.9688001875167,301.9469964612178,77032.03393578411,76735.93433771652,296.09959806799003,5.1366557323403855e-15,1.0
field_150x50m_200C,47.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,354.2940483964091,354.2940483964091,353.1686993654446,92838.85326283012,92492.54624837257,346.30701445801026,4.992535141282281e-15,1.0
field_150x50m_200C,48.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,409.57091647425364,409.57091647425364,408.35856273982836,111111.8485548018,110711.45241147725,400.39614332513406,5.195681373851264e-15,1.0
field_150x50m_200C,49.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,467.70543561148384,467.70543561148384,466.429987173731,131978.5138359423,131521.21359527894,457.3002406640871,5.39540480774393e-15,1.0
field_150x50m_200C,50.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,527.3369769817871,527.3369769817871,526.0282206141604,155505.63871243858,154989.9483420515,515.6903703878924,5.239640007251058e-15,1.0
field_150x50m_200C,51.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,586.9571817823544,586.9571817823544,585.6481861132265,181692.71740354033,181118.6262269996,574.0911765416599,5.083263010476678e-15,1.0
field_150x50m_200C,52.0,15000.0,23250046.500093002,150.0,20.0,50.0,120,9,50,1,200.0,387.50077500155,0.005,6.14e-11,16793315.297198817,645.0588306561685,645.0588306561685,643.7826874246845,210471.99957790316,209840.97330582017,631.0262720840565,5.0558212171137835e-15,1.0
