temperature_C,cycle,start_day,peak_day,end_day,downtime_end_day,peak_rate_m3_day
100.0,1,0.0,278.75,614.0,644.0,131.7229959525109
100.0,2,644.0,922.75,1258.0,1288.0,125.13684615488535
100.0,3,1288.0,1566.75,1902.0,1932.0,118.88000384714108
100.0,4,1932.0,2210.75,2546.0,2576.0,112.93600365478402
100.0,5,2576.0,2854.75,3190.0,3220.0,107.28920347204482
100.0,6,3220.0,3498.75,3834.0,3864.0,101.92474329844256
100.0,7,3864.0,4142.75,4478.0,4508.0,96.82850613352043
100.0,8,4508.0,4786.75,5122.0,5152.0,91.9870808268444
100.0,9,5152.0,5430.75,5766.0,5796.0,87.38772678550218
100.0,10,5796.0,6074.75,6410.0,6440.0,83.01834044622707
100.0,11,6440.0,6718.75,7054.0,7084.0,78.86742342391572
100.0,12,7084.0,7362.75,7698.0,7728.0,74.92405225271992
100.0,13,7728.0,8006.75,8342.0,8372.0,71.17784964008392
100.0,14,8372.0,8650.75,8986.0,9016.0,67.61895715807972
100.0,15,9016.0,9294.75,9630.0,9660.0,64.23800930017573
100.0,16,9660.0,9938.75,10274.0,10304.0,61.026108835166944
100.0,17,10304.0,10582.75,10918.0,10948.0,57.97480339340859
100.0,18,10948.0,11226.75,10957.5,10957.5,55.07606322373816
150.0,1,0.0,139.5,307.0,337.0,526.8918728779167
150.0,2,337.0,476.5,644.0,674.0,500.5472792340209
150.0,3,674.0,813.5,981.0,1011.0,475.51991527231985
150.0,4,1011.0,1150.5,1318.0,1348.0,451.7439195087038
150.0,5,1348.0,1487.5,1655.0,1685.0,429.15672353326863
150.0,6,1685.0,1824.5,1992.0,2022.0,407.6988873566051
150.0,7,2022.0,2161.5,2329.0,2359.0,387.3139429887749
150.0,8,2359.0,2498.5,2666.0,2696.0,367.9482458393361
150.0,9,2696.0,2835.5,3003.0,3033.0,349.5508335473693
150.0,10,3033.0,3172.5,3340.0,3370.0,332.0732918700008
150.0,11,3370.0,3509.5,3677.0,3707.0,315.4696272765008
150.0,12,3707.0,3846.5,4014.0,4044.0,299.6961459126757
150.0,13,4044.0,4183.5,4351.0,4381.0,284.7113386170419
150.0,14,4381.0,4520.5,4688.0,4718.0,270.4757716861898
150.0,15,4718.0,4857.5,5025.0,5055.0,256.9519831018803
150.0,16,5055.0,5194.5,5362.0,5392.0,244.10438394678627
150.0,17,5392.0,5531.5,5699.0,5729.0,231.89916474944692
150.0,18,5729.0,5868.5,6036.0,6066.0,220.30420651197457
150.0,19,6066.0,6205.5,6373.0,6403.0,209.28899618637584
150.0,20,6403.0,6542.5,6710.0,6740.0,198.82454637705703
150.0,21,6740.0,6879.5,7047.0,7077.0,188.88331905820417
150.0,22,7077.0,7216.5,7384.0,7414.0,179.43915310529397
150.0,23,7414.0,7553.5,7721.0,7751.0,170.46719545002924
150.0,24,7751.0,7890.5,8058.0,8088.0,161.9438356775278
150.0,25,8088.0,8227.5,8395.0,8425.0,153.8466438936514
150.0,26,8425.0,8564.5,8732.0,8762.0,146.15431169896883
150.0,27,8762.0,8901.5,9069.0,9099.0,138.84659611402037
150.0,28,9099.0,9238.5,9406.0,9436.0,131.90426630831934
150.0,29,9436.0,9575.5,9743.0,9773.0,125.30905299290336
150.0,30,9773.0,9912.5,10080.0,10110.0,119.04360034325819
150.0,31,10110.0,10249.5,10417.0,10447.0,113.09142032609527
150.0,32,10447.0,10586.5,10754.0,10784.0,107.4368493097905
150.0,33,10784.0,10923.5,10957.5,10957.5,102.06500684430098
200.0,1,0.0,98.5,217.25,247.25,1053.7837621738106
